Mean Software Developer Salary (adjusted),Mean Software Developer Salary (unadjusted),Mean Unadjusted Salary (all occupations),Number of Software Developer Jobs,Median Home Price,City,Cost of Living avg,Rent avg,Cost of Living Plus Rent avg,Local Purchasing Power avg
117552,108500,51260,13430,192000,"Columbus, OH",984.8,1421.5,2856.5,9335.4
117323,131167,65400,65760,491600,"Seattle, WA",1250.7,2528.2,4091.5,8971.3
114122,107046,51000,12800,208500,"Charlotte, NC",989.9,1974.5,3221.1,8939.8
112118,111670,51430,5780,296500,"Colorado Springs, CO",1049.2,1594,3094.5,8493.1
111616,99338,50100,4240,124100,"Dayton, OH",961.2,1072.1,2586,4887.7
111050,99612,44570,1560,136000,"Greensboro, NC",992.9,1445.4,2888,5721.9
111017,142101,72400,59550,946700,"San Francisco, CA",1326.9,4163.3,5290.7,8216.7
111017,142101,72400,59550,946700,"Oakland, CA",1313,3371.1,4754.9,6894.3
110898,104688,46650,5410,194100,"San Antonio, TX",884.3,1469.5,2688.9,8494.9
110891,111113,52590,46130,243900,"Fort Worth, TX",995,1551.7,2960,6949.2
110891,111113,52590,46130,243900,"Dallas, TX",958.7,1926.5,3128.6,10530.6
110313,105018,59940,6800,243700,"Durham, NC",994.3,1616.2,2999.9,6464.2
109849,106334,52750,38110,219600,"Atlanta, GA",1082.3,1865.4,3334,8063
109013,98112,50030,8620,169900,"Cincinnati, OH",909.8,58597.6,2775.1,7723.6
108990,109535,53810,21160,311300,"Austin, TX",939.6,2214.9,3275.7,9762.4
107676,103584,52580,12560,267200,"Raleigh, NC",963.6,1589.4,2922.2,8892.9
107672,109503,54290,20400,205600,"Houston, TX",903.4,1665.8,2852.3,10673.7
107282,115006,57740,16200,267800,"Baltimore, MD",1039.3,1600.5,3078.7,8399.9
107175,104495,45600,3900,279900,"Las Vegas, NV",965.6,1467.2,2848.1,7702.6
107170,101919,47610,4480,206200,"Tucson, AZ",909.1,1062.1,130097.8,5164.1
106291,105334,50920,9600,366000,"Salt Lake City, UT",917.7,1625.8,2854.9,8676.4
105258,101153,51330,6390,229600,"Richmond, VA",957.3,1440.7,2814.5,8079.7
105248,95986,44900,1140,178400,"Lexington, KY",889,1124,130097.8,6318.6
105197,111824,59440,26750,407900,"Denver, CO",1062,2125.8,3460.6,8020.4
104964,137397,80480,78730,1193600,"Santa Clara, CA",1263.3,3470.9,4720.8,9589.6
104964,137397,80480,78730,1193600,"San Jose, CA",1041.5,3160.3,4083.6,9711.8
104335,106108,56160,15420,397400,"Portland, OR",1085.5,2031.7,3446.9,6669.7
104335,106108,56160,15420,397400,"Vancouver, WA",968.8,1669.2,2983.6,7780.4
103690,92595,44500,1220,132900,"Wichita, KS",832.5,931.6,2241.4,7357.7
103177,100804,50520,20440,266600,"Phoenix, AZ",980.1,1683.8,3015.1,8388.2
103177,100804,50520,20440,266600,"Mesa, AZ",899.5,1266.8,2588.6,6381.5
102781,112648,54890,2060,602600,"Santa Barbara, CA",1342.4,3011.3,4582.1,5791.6
102188,119662,57890,53190,649500,"Los Angeles, CA",15809.2,2860,4043.7,7782.2
102188,119662,57890,53190,649500,"Long Beach, CA",987.2,2194.1,3356.6,6789.4
102171,114227,67370,54140,465000,"Boston, MA",1207.6,3005.1,4312.1,7140.5
102093,100358,44930,11050,238900,"Orlando, FL",962.2,1761.4,3029.9,7609.5
101733,100614,47750,12160,213800,"Tampa, FL",1071.4,1780.6,3257.8,6064.4
101598,90219,47480,2310,146000,"Birmingham, AL",1113.7,1082.5,2893.8,5240.6
101256,98320,51400,2140,135000,"Syracuse, NY",1024.8,1201.9,2794.5,4840.1
101188,119806,70980,63760,407700,"Washington, DC",1183.2,2821.2,4146.1,7517.5
100785,102801,56430,9980,411500,"Sacramento, CA",1100.4,1941.1,3418,6258.7
99955,105352,56170,26370,232800,"Philadelphia, PA",15809.2,1903.5,3430.6,7133.7
99878,93386,52220,4060,188800,"Des Moines, IA",979.6,1153.1,2674.2,6685.7
99826,92339,48690,5220,177200,"Omaha, NE",1064.1,1160,2845.5,6542.6
99228,101411,57420,22750,270700,"Minneapolis, MN",1117.3,1806.7,3365.5,7076.3
98726,102082,55670,42090,225900,"Chicago, IL",1088.8,2198.4,3559.9,8346.2
98623,93987,48370,5290,255300,"Nashville, TN",1040.2,2054.4,3371.8,6877.7
98617,90135,47120,3640,146700,"Oklahoma City, OK",917.6,1222.3,2596,7895.2
98156,94033,53690,28450,162200,"Detroit, MI",998.7,1407.3,2874.9,6790.6
97974,113650,58090,19130,590700,"San Diego, CA",1066.3,2640.7,3799.4,7894.6
97043,91220,50070,11060,143200,"Pittsburgh, PA",1163.7,1503,3262,7126.9
96686,118247,64550,98650,442500,"New York, NY",1412.9,3840,5252.9,6170.5
96686,118247,64550,98650,442500,"Jersey City, NJ",1141.5,2419.2,3805.7,9619.2
96580,92234,51040,6710,232300,"Milwaukee, WI",1011.1,58597.6,2975.8,6737.6
96448,88732,49380,8470,166800,"Indianapolis, IN",948.6,1387,2763,7499
95969,98176,51050,1190,383600,"Fort Collins, CO",1027.9,1654.6,3090.8,6191.5
95609,91976,46200,2000,255100,"Charleston, SC",1091.6,1866.6,3352.9,7482.4
95308,88732,50200,12480,192900,"Kansas City, MO",933.5,1286.4,2668.5,7848.9
95187,86049,46170,1770,138200,"Tulsa, OK",881,1110.5,2452,8148.2
94819,93112,50830,4950,146600,"Rochester, NY",1011.2,1118.6,2714.7,6177.9
94320,85737,45740,4950,162300,"Louisville, KY",956.7,1238,2683.7,6766
94051,94615,54400,2980,217600,"Albany, NY",1010.1,1332.5,2849.2,8006.2
93735,88955,49420,3170,159300,"Buffalo, NY",1049.7,1135.1,2800.8,7673.6
93194,84434,45020,1810,140600,"Little Rock, AR",837.3,983,2283.9,8087.7
93112,87712,45470,2390,287300,"Boise, ID",964.9,1662.3,2971.5,5098.7
92683,94258,55130,2650,290500,"Ann Arbor, MI",993,1842,3142.3,9872.2
92207,83355,48910,2590,141900,"Akron, OH",878.8,879.3,2299.7,6348.8
91568,87355,46920,4530,214100,"Jacksonville, FL",982.1,1358.2,2810.8,8904
91010,87097,46860,1770,199500,"Albuquerque, NM",896.4,1302.1,2605.4,7555.2
90269,85575,49200,1120,243200,"Spokane, WA",962.3,1347.4,2764.6,6933.2
90238,87350,52890,8770,257700,"Madison, WI",951.2,1488,2832.9,8153.1
89921,81918,44610,1590,139900,"Memphis, TN",880.1,1340.5,2597.5,6784.5
89040,80314,50470,8220,146500,"Cleveland, OH",1065.5,1355.1,2973.1,7732.9
88249,95662,48240,13740,283400,"Miami, FL",1102.1,2494.4,3775.8,5782.4
88249,95662,48240,13740,283400,"Fort Lauderdale, FL",1086,2171.9,3537.8,6252
85912,84021,47320,1220,293900,"Eugene, OR",984,1448,2871.7,5443
72811,90796,54870,1590,678200,"Honolulu, HI",1464.5,2498.7,4494.4,5506.6
